dapil,partai,nama,nomor_urut,suara_pribadi,status
Dapil 2,NASDEM,Caleg NASDEM-2-4 (contoh),4,4002,lain
Dapil 2,DEMOKRAT,Caleg DEMOKRAT-2-1 (contoh),1,1037,lain
Dapil 2,DEMOKRAT,Caleg DEMOKRAT-2-2 (contoh),2,1459,lain
Dapil 2,DEMOKRAT,Caleg DEMOKRAT-2-3 (contoh),3,410,lain
Dapil 2,DEMOKRAT,Caleg DEMOKRAT-2-4 (contoh),4,8913,lain
Dapil 2,PAN,Caleg PAN-2-1 (contoh),1,2229,lain
Dapil 2,PAN,Caleg PAN-2-2 (contoh),2,4547,lain
Dapil 2,PAN,Caleg PAN-2-3 (contoh),3,1171,lain
Dapil 2,PAN,Caleg PAN-2-4 (contoh),4,6572,lain
Dapil 2,PPP,Caleg PPP-2-1 (contoh),1,2648,lain
Dapil 2,PPP,Caleg PPP-2-2 (contoh),2,364,lain
Dapil 2,PPP,Caleg PPP-2-3 (contoh),3,2377,lain
Dapil 2,PPP,Caleg PPP-2-4 (contoh),4,1764,lain
Dapil 2,PSI,Caleg PSI-2-1 (contoh),1,1330,lain
Dapil 2,PSI,Caleg PSI-2-2 (contoh),2,6219,lain
Dapil 2,PSI,Caleg PSI-2-3 (contoh),3,2360,lain
Dapil 2,PSI,Caleg PSI-2-4 (contoh),4,7790,lain
Dapil 3,PDIP,Caleg PDIP-3-1 (contoh),1,6733,kita
Dapil 3,PDIP,Caleg PDIP-3-2 (contoh),2,7500,lain
Dapil 3,PDIP,Caleg PDIP-3-3 (contoh),3,7132,lain
Dapil 3,PDIP,Caleg PDIP-3-4 (contoh),4,1271,lain
Dapil 3,GERINDRA,Caleg GERINDRA-3-1 (contoh),1,771,lain
Dapil 3,GERINDRA,Caleg GERINDRA-3-2 (contoh),2,3521,lain
Dapil 3,GERINDRA,Caleg GERINDRA-3-3 (contoh),3,3653,lain
Dapil 3,GERINDRA,Caleg GERINDRA-3-4 (contoh),4,4597,lain
Dapil 3,GOLKAR,Caleg GOLKAR-3-1 (contoh),1,7450,lain
Dapil 3,GOLKAR,Caleg GOLKAR-3-2 (contoh),2,4140,lain
Dapil 3,GOLKAR,Caleg GOLKAR-3-3 (contoh),3,4942,lain
Dapil 3,GOLKAR,Caleg GOLKAR-3-4 (contoh),4,2080,lain
Dapil 3,PKB,Caleg PKB-3-1 (contoh),1,3708,lain
Dapil 3,PKB,Caleg PKB-3-2 (contoh),2,2975,lain
Dapil 3,PKB,Caleg PKB-3-3 (contoh),3,6860,lain
Dapil 3,PKB,Caleg PKB-3-4 (contoh),4,620,lain
Dapil 3,PKS,Caleg PKS-3-1 (contoh),1,6104,lain
Dapil 3,PKS,Caleg PKS-3-2 (contoh),2,906,lain
Dapil 3,PKS,Caleg PKS-3-3 (contoh),3,5315,lain
Dapil 3,PKS,Caleg PKS-3-4 (contoh),4,1836,lain
Dapil 3,NASDEM,Caleg NASDEM-3-1 (contoh),1,1330,lain
Dapil 3,NASDEM,Caleg NASDEM-3-2 (contoh),2,1280,lain
Dapil 3,NASDEM,Caleg NASDEM-3-3 (contoh),3,730,lain
Dapil 3,NASDEM,Caleg NASDEM-3-4 (contoh),4,5051,lain
Dapil 3,DEMOKRAT,Caleg DEMOKRAT-3-1 (contoh),1,2009,lain
Dapil 3,DEMOKRAT,Caleg DEMOKRAT-3-2 (contoh),2,7007,lain
Dapil 3,DEMOKRAT,Caleg DEMOKRAT-3-3 (contoh),3,8008,lain
Dapil 3,DEMOKRAT,Caleg DEMOKRAT-3-4 (contoh),4,8217,lain
Dapil 3,PAN,Caleg PAN-3-1 (contoh),1,8850,lain
Dapil 3,PAN,Caleg PAN-3-2 (contoh),2,1864,lain
Dapil 3,PAN,Caleg PAN-3-3 (contoh),3,7542,lain
Dapil 3,PAN,Caleg PAN-3-4 (contoh),4,4336,lain
Dapil 3,PPP,Caleg PPP-3-1 (contoh),1,4006,lain
Dapil 3,PPP,Caleg PPP-3-2 (contoh),2,7097,lain
Dapil 3,PPP,Caleg PPP-3-3 (contoh),3,3401,lain
Dapil 3,PPP,Caleg PPP-3-4 (contoh),4,1382,lain
Dapil 3,PSI,Caleg PSI-3-1 (contoh),1,348,lain
Dapil 3,PSI,Caleg PSI-3-2 (contoh),2,4243,lain
Dapil 3,PSI,Caleg PSI-3-3 (contoh),3,2454,lain
Dapil 3,PSI,Caleg PSI-3-4 (contoh),4,2378,lain
Dapil 4,PDIP,Caleg PDIP-4-1 (contoh),1,1745,kita
Dapil 4,PDIP,Caleg PDIP-4-2 (contoh),2,6645,lain
Dapil 4,PDIP,Caleg PDIP-4-3 (contoh),3,2234,lain
Dapil 4,PDIP,Caleg PDIP-4-4 (contoh),4,8429,lain
Dapil 4,GERINDRA,Caleg GERINDRA-4-1 (contoh),1,3500,lain
Dapil 4,GERINDRA,Caleg GERINDRA-4-2 (contoh),2,1000,lain
Dapil 4,GERINDRA,Caleg GERINDRA-4-3 (contoh),3,1430,lain
Dapil 4,GERINDRA,Caleg GERINDRA-4-4 (contoh),4,7459,lain
Dapil 4,GOLKAR,Caleg GOLKAR-4-1 (contoh),1,1133,lain
Dapil 4,GOLKAR,Caleg GOLKAR-4-2 (contoh),2,6614,lain
Dapil 4,GOLKAR,Caleg GOLKAR-4-3 (contoh),3,7706,lain
Dapil 4,GOLKAR,Caleg GOLKAR-4-4 (contoh),4,2768,lain
Dapil 4,PKB,Caleg PKB-4-1 (contoh),1,6142,lain
Dapil 4,PKB,Caleg PKB-4-2 (contoh),2,8476,lain
Dapil 4,PKB,Caleg PKB-4-3 (contoh),3,4514,lain
Dapil 4,PKB,Caleg PKB-4-4 (contoh),4,657,lain
Dapil 4,PKS,Caleg PKS-4-1 (contoh),1,2141,lain
Dapil 4,PKS,Caleg PKS-4-2 (contoh),2,3160,lain
Dapil 4,PKS,Caleg PKS-4-3 (contoh),3,8234,lain
Dapil 4,PKS,Caleg PKS-4-4 (contoh),4,2508,lain
Dapil 4,NASDEM,Caleg NASDEM-4-1 (contoh),1,5316,lain
Dapil 4,NASDEM,Caleg NASDEM-4-2 (contoh),2,659,lain
Dapil 4,NASDEM,Caleg NASDEM-4-3 (contoh),3,3274,lain
Dapil 4,NASDEM,Caleg NASDEM-4-4 (contoh),4,7601,lain
Dapil 4,DEMOKRAT,Caleg DEMOKRAT-4-1 (contoh),1,5978,lain
Dapil 4,DEMOKRAT,Caleg DEMOKRAT-4-2 (contoh),2,3634,lain
Dapil 4,DEMOKRAT,Caleg DEMOKRAT-4-3 (contoh),3,8282,lain
Dapil 4,DEMOKRAT,Caleg DEMOKRAT-4-4 (contoh),4,2448,lain
Dapil 4,PAN,Caleg PAN-4-1 (contoh),1,7371,lain
Dapil 4,PAN,Caleg PAN-4-2 (contoh),2,7311,lain
Dapil 4,PAN,Caleg PAN-4-3 (contoh),3,8907,lain
Dapil 4,PAN,Caleg PAN-4-4 (contoh),4,3812,lain
Dapil 4,PPP,Caleg PPP-4-1 (contoh),1,8116,lain
Dapil 4,PPP,Caleg PPP-4-2 (contoh),2,6704,lain
Dapil 4,PPP,Caleg PPP-4-3 (contoh),3,1542,lain
Dapil 4,PPP,Caleg PPP-4-4 (contoh),4,695,lain
Dapil 4,PSI,Caleg PSI-4-1 (contoh),1,5225,lain
Dapil 4,PSI,Caleg PSI-4-2 (contoh),2,2183,lain
Dapil 4,PSI,Caleg PSI-4-3 (contoh),3,5307,lain
Dapil 4,PSI,Caleg PSI-4-4 (contoh),4,1677,lain
Dapil 5,PDIP,Caleg PDIP-5-1 (contoh),1,3294,kita
Dapil 5,PDIP,Caleg PDIP-5-2 (contoh),2,7484,lain
Dapil 5,PDIP,Caleg PDIP-5-3 (contoh),3,8286,lain
Dapil 5,PDIP,Caleg PDIP-5-4 (contoh),4,6781,lain
Dapil 5,GERINDRA,Caleg GERINDRA-5-1 (contoh),1,2395,lain
Dapil 5,GERINDRA,Caleg GERINDRA-5-2 (contoh),2,7660,lain
Dapil 5,GERINDRA,Caleg GERINDRA-5-3 (contoh),3,1093,lain
Dapil 5,GERINDRA,Caleg GERINDRA-5-4 (contoh),4,5827,lain
Dapil 5,GOLKAR,Caleg GOLKAR-5-1 (contoh),1,2475,lain
Dapil 5,GOLKAR,Caleg GOLKAR-5-2 (contoh),2,1581,lain
Dapil 5,GOLKAR,Caleg GOLKAR-5-3 (contoh),3,2874,lain
Dapil 5,GOLKAR,Caleg GOLKAR-5-4 (contoh),4,5196,lain
Dapil 5,PKB,Caleg PKB-5-1 (contoh),1,5487,lain
Dapil 5,PKB,Caleg PKB-5-2 (contoh),2,6902,lain
Dapil 5,PKB,Caleg PKB-5-3 (contoh),3,6609,lain
Dapil 5,PKB,Caleg PKB-5-4 (contoh),4,2221,lain
Dapil 5,PKS,Caleg PKS-5-1 (contoh),1,861,lain
Dapil 5,PKS,Caleg PKS-5-2 (contoh),2,5451,lain
Dapil 5,PKS,Caleg PKS-5-3 (contoh),3,1135,lain
Dapil 5,PKS,Caleg PKS-5-4 (contoh),4,4843,lain
Dapil 5,NASDEM,Caleg NASDEM-5-1 (contoh),1,2542,lain
Dapil 5,NASDEM,Caleg NASDEM-5-2 (contoh),2,2818,lain
Dapil 5,NASDEM,Caleg NASDEM-5-3 (contoh),3,5465,lain
Dapil 5,NASDEM,Caleg NASDEM-5-4 (contoh),4,7060,lain
Dapil 5,DEMOKRAT,Caleg DEMOKRAT-5-1 (contoh),1,1385,lain
Dapil 5,DEMOKRAT,Caleg DEMOKRAT-5-2 (contoh),2,6066,lain
Dapil 5,DEMOKRAT,Caleg DEMOKRAT-5-3 (contoh),3,3093,lain
Dapil 5,DEMOKRAT,Caleg DEMOKRAT-5-4 (contoh),4,389,lain
Dapil 5,PAN,Caleg PAN-5-1 (contoh),1,5560,lain
Dapil 5,PAN,Caleg PAN-5-2 (contoh),2,6335,lain
Dapil 5,PAN,Caleg PAN-5-3 (contoh),3,7672,lain
Dapil 5,PAN,Caleg PAN-5-4 (contoh),4,1491,lain
Dapil 5,PPP,Caleg PPP-5-1 (contoh),1,6647,lain
Dapil 5,PPP,Caleg PPP-5-2 (contoh),2,5197,lain
Dapil 5,PPP,Caleg PPP-5-3 (contoh),3,8575,lain
Dapil 5,PPP,Caleg PPP-5-4 (contoh),4,2145,lain
Dapil 5,PSI,Caleg PSI-5-1 (contoh),1,565,lain
Dapil 5,PSI,Caleg PSI-5-2 (contoh),2,6188,lain
Dapil 5,PSI,Caleg PSI-5-3 (contoh),3,1604,lain
Dapil 5,PSI,Caleg PSI-5-4 (contoh),4,4450,lain
