partai,tingkat,kode_wilayah,nama_unit,pengurus,kader,target_unit,terbentuk,ketua,kontak
PDIP,Anak Ranting / RT,3404140,Anak ranting PDIP Tempel,306,271,102,102,,
PDIP,PAC / Kecamatan,3404150,PAC PDIP Turi,15,60,1,ya,,
PDIP,Ranting / Desa,3404150,Ranting PDIP Turi,72,551,8,8,,
PDIP,Anak Ranting / RT,3404150,Anak ranting PDIP Turi,93,137,31,31,,
PDIP,PAC / Kecamatan,3404160,PAC PDIP Pakem,21,2089,1,ya,,
PDIP,Ranting / Desa,3404160,Ranting PDIP Pakem,324,606,36,36,,
PDIP,Anak Ranting / RT,3404160,Anak ranting PDIP Pakem,441,965,147,147,,
PDIP,PAC / Kecamatan,3404170,PAC PDIP Cangkringan,9,806,1,ya,,
PDIP,Ranting / Desa,3404170,Ranting PDIP Cangkringan,189,1276,21,21,,
PDIP,Anak Ranting / RT,3404170,Anak ranting PDIP Cangkringan,261,411,87,87,,
GERINDRA,DPD II / DPC,,DPC GERINDRA Kabupaten,33,2129,1,ya,,
GERINDRA,PAC / Kecamatan,3404010,PAC GERINDRA Moyudan,16,207,1,ya,,
GERINDRA,Ranting / Desa,3404010,Ranting GERINDRA Moyudan,119,189,19,13,,
GERINDRA,Anak Ranting / RT,3404010,Anak ranting GERINDRA Moyudan,46,43,76,26,,
GERINDRA,PAC / Kecamatan,3404020,PAC GERINDRA Minggir,10,510,1,ya,,
GERINDRA,Ranting / Desa,3404020,Ranting GERINDRA Minggir,38,840,16,8,,
GERINDRA,Anak Ranting / RT,3404020,Anak ranting GERINDRA Minggir,23,225,64,44,,
GERINDRA,PAC / Kecamatan,3404030,PAC GERINDRA Seyegan,12,1312,1,ya,,
GERINDRA,Ranting / Desa,3404030,Ranting GERINDRA Seyegan,124,718,32,14,,
GERINDRA,Anak Ranting / RT,3404030,Anak ranting GERINDRA Seyegan,229,124,132,38,,
GERINDRA,PAC / Kecamatan,3404040,PAC GERINDRA Godean,6,653,1,ya,,
GERINDRA,Ranting / Desa,3404040,Ranting GERINDRA Godean,47,587,20,8,,
GERINDRA,Anak Ranting / RT,3404040,Anak ranting GERINDRA Godean,119,155,82,77,,
GERINDRA,PAC / Kecamatan,3404050,PAC GERINDRA Gamping,12,150,1,ya,,
GERINDRA,Ranting / Desa,3404050,Ranting GERINDRA Gamping,35,739,15,11,,
GERINDRA,Anak Ranting / RT,3404050,Anak ranting GERINDRA Gamping,79,97,59,43,,
GERINDRA,PAC / Kecamatan,3404060,PAC GERINDRA Mlati,22,1241,1,ya,,
GERINDRA,Ranting / Desa,3404060,Ranting GERINDRA Mlati,297,1767,37,23,,
GERINDRA,Anak Ranting / RT,3404060,Anak ranting GERINDRA Mlati,55,515,154,32,,
GERINDRA,PAC / Kecamatan,3404070,PAC GERINDRA Depok,12,144,1,ya,,
GERINDRA,Ranting / Desa,3404070,Ranting GERINDRA Depok,87,305,15,12,,
GERINDRA,Anak Ranting / RT,3404070,Anak ranting GERINDRA Depok,60,286,63,34,,
GERINDRA,PAC / Kecamatan,3404080,PAC GERINDRA Berbah,5,465,1,ya,,
GERINDRA,Ranting / Desa,3404080,Ranting GERINDRA Berbah,80,180,15,13,,
GERINDRA,Anak Ranting / RT,3404080,Anak ranting GERINDRA Berbah,96,260,59,54,,
GERINDRA,PAC / Kecamatan,3404090,PAC GERINDRA Prambanan,18,600,1,ya,,
GERINDRA,Ranting / Desa,3404090,Ranting GERINDRA Prambanan,182,646,21,12,,
GERINDRA,Anak Ranting / RT,3404090,Anak ranting GERINDRA Prambanan,144,197,87,42,,
GERINDRA,PAC / Kecamatan,3404100,PAC GERINDRA Kalasan,16,1184,1,ya,,
GERINDRA,Ranting / Desa,3404100,Ranting GERINDRA Kalasan,84,1353,30,22,,
GERINDRA,Anak Ranting / RT,3404100,Anak ranting GERINDRA Kalasan,132,73,124,64,,
GERINDRA,PAC / Kecamatan,3404110,PAC GERINDRA Ngemplak,16,99,1,ya,,
GERINDRA,Ranting / Desa,3404110,Ranting GERINDRA Ngemplak,28,317,8,7,,
GERINDRA,Anak Ranting / RT,3404110,Anak ranting GERINDRA Ngemplak,68,43,31,29,,
GERINDRA,PAC / Kecamatan,3404120,PAC GERINDRA Ngaglik,8,175,1,ya,,
GERINDRA,Ranting / Desa,3404120,Ranting GERINDRA Ngaglik,217,514,34,20,,
GERINDRA,Anak Ranting / RT,3404120,Anak ranting GERINDRA Ngaglik,138,520,139,108,,
GERINDRA,PAC / Kecamatan,3404130,PAC GERINDRA Sleman,19,742,1,ya,,
GERINDRA,Ranting / Desa,3404130,Ranting GERINDRA Sleman,179,667,24,12,,
GERINDRA,Anak Ranting / RT,3404130,Anak ranting GERINDRA Sleman,113,500,99,71,,
GERINDRA,PAC / Kecamatan,3404140,PAC GERINDRA Tempel,8,394,1,ya,,
GERINDRA,Ranting / Desa,3404140,Ranting GERINDRA Tempel,170,600,25,17,,
GERINDRA,Anak Ranting / RT,3404140,Anak ranting GERINDRA Tempel,154,65,102,29,,
GERINDRA,PAC / Kecamatan,3404150,PAC GERINDRA Turi,16,186,1,ya,,
GERINDRA,Ranting / Desa,3404150,Ranting GERINDRA Turi,27,257,8,4,,
GERINDRA,Anak Ranting / RT,3404150,Anak ranting GERINDRA Turi,45,104,31,9,,
GERINDRA,PAC / Kecamatan,3404160,PAC GERINDRA Pakem,12,1030,1,ya,,
GERINDRA,Ranting / Desa,3404160,Ranting GERINDRA Pakem,207,883,36,20,,
GERINDRA,Anak Ranting / RT,3404160,Anak ranting GERINDRA Pakem,78,161,147,83,,
GERINDRA,PAC / Kecamatan,3404170,PAC GERINDRA Cangkringan,13,664,1,ya,,
GERINDRA,Ranting / Desa,3404170,Ranting GERINDRA Cangkringan,42,764,21,7,,
GERINDRA,Anak Ranting / RT,3404170,Anak ranting GERINDRA Cangkringan,140,233,87,64,,
GOLKAR,DPD II / DPC,,DPC GOLKAR Kabupaten,65,1078,1,ya,,
GOLKAR,PAC / Kecamatan,3404010,PAC GOLKAR Moyudan,5,214,1,ya,,
GOLKAR,Ranting / Desa,3404010,Ranting GOLKAR Moyudan,43,1054,19,9,,
GOLKAR,Anak Ranting / RT,3404010,Anak ranting GOLKAR Moyudan,80,352,76,27,,
GOLKAR,PAC / Kecamatan,3404020,PAC GOLKAR Minggir,9,83,1,ya,,
GOLKAR,Ranting / Desa,3404020,Ranting GOLKAR Minggir,119,880,16,10,,
GOLKAR,Anak Ranting / RT,3404020,Anak ranting GOLKAR Minggir,125,64,64,40,,
GOLKAR,PAC / Kecamatan,3404030,PAC GOLKAR Seyegan,13,1334,1,ya,,
GOLKAR,Ranting / Desa,3404030,Ranting GOLKAR Seyegan,231,250,32,28,,
GOLKAR,Anak Ranting / RT,3404030,Anak ranting GOLKAR Seyegan,85,499,132,50,,
GOLKAR,PAC / Kecamatan,3404040,PAC GOLKAR Godean,15,441,1,ya,,
GOLKAR,Ranting / Desa,3404040,Ranting GOLKAR Godean,157,1074,20,11,,
GOLKAR,Anak Ranting / RT,3404040,Anak ranting GOLKAR Godean,165,122,82,37,,
GOLKAR,PAC / Kecamatan,3404050,PAC GOLKAR Gamping,7,315,1,tidak,,
GOLKAR,Ranting / Desa,3404050,Ranting GOLKAR Gamping,58,773,15,10,,
GOLKAR,Anak Ranting / RT,3404050,Anak ranting GOLKAR Gamping,55,72,59,44,,
GOLKAR,PAC / Kecamatan,3404060,PAC GOLKAR Mlati,21,671,1,ya,,
GOLKAR,Ranting / Desa,3404060,Ranting GOLKAR Mlati,190,2226,37,16,,
GOLKAR,Anak Ranting / RT,3404060,Anak ranting GOLKAR Mlati,71,386,154,120,,
GOLKAR,PAC / Kecamatan,3404070,PAC GOLKAR Depok,12,561,1,ya,,
GOLKAR,Ranting / Desa,3404070,Ranting GOLKAR Depok,67,572,15,11,,
GOLKAR,Anak Ranting / RT,3404070,Anak ranting GOLKAR Depok,38,214,63,15,,
GOLKAR,PAC / Kecamatan,3404080,PAC GOLKAR Berbah,19,235,1,ya,,
GOLKAR,Ranting / Desa,3404080,Ranting GOLKAR Berbah,54,623,15,13,,
GOLKAR,Anak Ranting / RT,3404080,Anak ranting GOLKAR Berbah,88,42,59,52,,
GOLKAR,PAC / Kecamatan,3404090,PAC GOLKAR Prambanan,17,185,1,ya,,
GOLKAR,Ranting / Desa,3404090,Ranting GOLKAR Prambanan,159,229,21,7,,
GOLKAR,Anak Ranting / RT,3404090,Anak ranting GOLKAR Prambanan,188,204,87,51,,
GOLKAR,PAC / Kecamatan,3404100,PAC GOLKAR Kalasan,21,270,1,ya,,
GOLKAR,Ranting / Desa,3404100,Ranting GOLKAR Kalasan,233,1169,30,13,,
GOLKAR,Anak Ranting / RT,3404100,Anak ranting GOLKAR Kalasan,115,379,124,70,,
GOLKAR,PAC / Kecamatan,3404110,PAC GOLKAR Ngemplak,9,305,1,tidak,,
GOLKAR,Ranting / Desa,3404110,Ranting GOLKAR Ngemplak,22,256,8,4,,
GOLKAR,Anak Ranting / RT,3404110,Anak ranting GOLKAR Ngemplak,42,118,31,15,,
GOLKAR,PAC / Kecamatan,3404120,PAC GOLKAR Ngaglik,20,150,1,ya,,
GOLKAR,Ranting / Desa,3404120,Ranting GOLKAR Ngaglik,86,1012,34,16,,
GOLKAR,Anak Ranting / RT,3404120,Anak ranting GOLKAR Ngaglik,156,204,139,80,,
GOLKAR,PAC / Kecamatan,3404130,PAC GOLKAR Sleman,21,934,1,ya,,
GOLKAR,Ranting / Desa,3404130,Ranting GOLKAR Sleman,183,612,24,21,,
GOLKAR,Anak Ranting / RT,3404130,Anak ranting GOLKAR Sleman,37,343,99,81,,
GOLKAR,PAC / Kecamatan,3404140,PAC GOLKAR Tempel,16,700,1,ya,,
GOLKAR,Ranting / Desa,3404140,Ranting GOLKAR Tempel,156,386,25,10,,
GOLKAR,Anak Ranting / RT,3404140,Anak ranting GOLKAR Tempel,182,406,102,27,,
GOLKAR,PAC / Kecamatan,3404150,PAC GOLKAR Turi,8,283,1,ya,,
GOLKAR,Ranting / Desa,3404150,Ranting GOLKAR Turi,54,323,8,5,,
GOLKAR,Anak Ranting / RT,3404150,Anak ranting GOLKAR Turi,56,63,31,16,,
GOLKAR,PAC / Kecamatan,3404160,PAC GOLKAR Pakem,13,1033,1,ya,,
GOLKAR,Ranting / Desa,3404160,Ranting GOLKAR Pakem,199,525,36,29,,
GOLKAR,Anak Ranting / RT,3404160,Anak ranting GOLKAR Pakem,290,350,147,43,,
GOLKAR,PAC / Kecamatan,3404170,PAC GOLKAR Cangkringan,18,235,1,ya,,
GOLKAR,Ranting / Desa,3404170,Ranting GOLKAR Cangkringan,78,1195,21,20,,
GOLKAR,Anak Ranting / RT,3404170,Anak ranting GOLKAR Cangkringan,86,154,87,53,,
PKB,DPD II / DPC,,DPC PKB Kabupaten,41,1806,1,ya,,
PKB,PAC / Kecamatan,3404010,PAC PKB Moyudan,18,749,1,ya,,
PKB,Ranting / Desa,3404010,Ranting PKB Moyudan,171,1554,19,19,,
PKB,Anak Ranting / RT,3404010,Anak ranting PKB Moyudan,228,294,76,76,,
PKB,PAC / Kecamatan,3404020,PAC PKB Minggir,20,803,1,ya,,
PKB,Ranting / Desa,3404020,Ranting PKB Minggir,144,354,16,16,,
PKB,Anak Ranting / RT,3404020,Anak ranting PKB Minggir,192,185,64,64,,
PKB,PAC / Kecamatan,3404030,PAC PKB Seyegan,15,1052,1,ya,,
PKB,Ranting / Desa,3404030,Ranting PKB Seyegan,288,906,32,32,,
PKB,Anak Ranting / RT,3404030,Anak ranting PKB Seyegan,396,784,132,132,,
PKB,PAC / Kecamatan,3404040,PAC PKB Godean,20,891,1,ya,,
PKB,Ranting / Desa,3404040,Ranting PKB Godean,180,200,20,20,,
PKB,Anak Ranting / RT,3404040,Anak ranting PKB Godean,246,531,82,82,,
PKB,PAC / Kecamatan,3404050,PAC PKB Gamping,9,410,1,ya,,
PKB,Ranting / Desa,3404050,Ranting PKB Gamping,135,1129,15,15,,
PKB,Anak Ranting / RT,3404050,Anak ranting PKB Gamping,177,239,59,59,,
PKB,PAC / Kecamatan,3404060,PAC PKB Mlati,17,2169,1,ya,,
PKB,Ranting / Desa,3404060,Ranting PKB Mlati,333,3014,37,37,,
PKB,Anak Ranting / RT,3404060,Anak ranting PKB Mlati,462,526,154,154,,
PKB,PAC / Kecamatan,3404070,PAC PKB Depok,10,203,1,ya,,
PKB,Ranting / Desa,3404070,Ranting PKB Depok,135,824,15,15,,
PKB,Anak Ranting / RT,3404070,Anak ranting PKB Depok,189,93,63,63,,
PKB,PAC / Kecamatan,3404080,PAC PKB Berbah,17,541,1,ya,,
PKB,Ranting / Desa,3404080,Ranting PKB Berbah,135,526,15,15,,
PKB,Anak Ranting / RT,3404080,Anak ranting PKB Berbah,177,370,59,59,,
PKB,PAC / Kecamatan,3404090,PAC PKB Prambanan,11,1259,1,ya,,
PKB,Ranting / Desa,3404090,Ranting PKB Prambanan,189,1922,21,21,,
PKB,Anak Ranting / RT,3404090,Anak ranting PKB Prambanan,261,472,87,87,,
PKB,PAC / Kecamatan,3404100,PAC PKB Kalasan,20,764,1,ya,,
PKB,Ranting / Desa,3404100,Ranting PKB Kalasan,270,2593,30,30,,
PKB,Anak Ranting / RT,3404100,Anak ranting PKB Kalasan,372,353,124,124,,
PKB,PAC / Kecamatan,3404110,PAC PKB Ngemplak,9,87,1,ya,,
PKB,Ranting / Desa,3404110,Ranting PKB Ngemplak,72,413,8,8,,
PKB,Anak Ranting / RT,3404110,Anak ranting PKB Ngemplak,93,90,31,31,,
PKB,PAC / Kecamatan,3404120,PAC PKB Ngaglik,9,1039,1,ya,,
PKB,Ranting / Desa,3404120,Ranting PKB Ngaglik,306,2757,34,34,,
PKB,Anak Ranting / RT,3404120,Anak ranting PKB Ngaglik,417,295,139,139,,
PKB,PAC / Kecamatan,3404130,PAC PKB Sleman,10,1280,1,ya,,
PKB,Ranting / Desa,3404130,Ranting PKB Sleman,216,1683,24,24,,
PKB,Anak Ranting / RT,3404130,Anak ranting PKB Sleman,297,490,99,99,,
PKB,PAC / Kecamatan,3404140,PAC PKB Tempel,9,1044,1,ya,,
PKB,Ranting / Desa,3404140,Ranting PKB Tempel,225,906,25,25,,
PKB,Anak Ranting / RT,3404140,Anak ranting PKB Tempel,306,108,102,102,,
PKB,PAC / Kecamatan,3404150,PAC PKB Turi,9,372,1,ya,,
PKB,Ranting / Desa,3404150,Ranting PKB Turi,72,670,8,8,,
PKB,Anak Ranting / RT,3404150,Anak ranting PKB Turi,93,219,31,31,,
PKB,PAC / Kecamatan,3404160,PAC PKB Pakem,15,670,1,ya,,
PKB,Ranting / Desa,3404160,Ranting PKB Pakem,324,1453,36,36,,
PKB,Anak Ranting / RT,3404160,Anak ranting PKB Pakem,441,951,147,147,,
PKB,PAC / Kecamatan,3404170,PAC PKB Cangkringan,10,1258,1,ya,,
PKB,Ranting / Desa,3404170,Ranting PKB Cangkringan,189,1374,21,21,,
PKB,Anak Ranting / RT,3404170,Anak ranting PKB Cangkringan,261,548,87,87,,
PKS,DPD II / DPC,,DPC PKS Kabupaten,33,2100,1,ya,,
PKS,PAC / Kecamatan,3404010,PAC PKS Moyudan,18,529,1,ya,,
PKS,Ranting / Desa,3404010,Ranting PKS Moyudan,144,603,19,14,,
PKS,Anak Ranting / RT,3404010,Anak ranting PKS Moyudan,76,46,76,63,,
PKS,PAC / Kecamatan,3404020,PAC PKS Minggir,10,369,1,ya,,
PKS,Ranting / Desa,3404020,Ranting PKS Minggir,44,664,16,11,,
PKS,Anak Ranting / RT,3404020,Anak ranting PKS Minggir,58,94,64,53,,
PKS,PAC / Kecamatan,3404030,PAC PKS Seyegan,17,229,1,ya,,
PKS,Ranting / Desa,3404030,Ranting PKS Seyegan,110,1634,32,18,,
PKS,Anak Ranting / RT,3404030,Anak ranting PKS Seyegan,277,318,132,76,,
PKS,PAC / Kecamatan,3404040,PAC PKS Godean,7,560,1,ya,,
PKS,Ranting / Desa,3404040,Ranting PKS Godean,167,281,20,9,,
PKS,Anak Ranting / RT,3404040,Anak ranting PKS Godean,170,115,82,32,,
PKS,PAC / Kecamatan,3404050,PAC PKS Gamping,5,97,1,ya,,
PKS,Ranting / Desa,3404050,Ranting PKS Gamping,95,891,15,13,,
PKS,Anak Ranting / RT,3404050,Anak ranting PKS Gamping,69,139,59,37,,
PKS,PAC / Kecamatan,3404060,PAC PKS Mlati,16,512,1,ya,,
PKS,Ranting / Desa,3404060,Ranting PKS Mlati,86,1209,37,19,,
PKS,Anak Ranting / RT,3404060,Anak ranting PKS Mlati,127,459,154,62,,
PKS,PAC / Kecamatan,3404070,PAC PKS Depok,14,235,1,ya,,
PKS,Ranting / Desa,3404070,Ranting PKS Depok,108,208,15,14,,
PKS,Anak Ranting / RT,3404070,Anak ranting PKS Depok,77,206,63,29,,
PKS,PAC / Kecamatan,3404080,PAC PKS Berbah,15,476,1,ya,,
PKS,Ranting / Desa,3404080,Ranting PKS Berbah,107,352,15,6,,
PKS,Anak Ranting / RT,3404080,Anak ranting PKS Berbah,123,155,59,34,,
PKS,PAC / Kecamatan,3404090,PAC PKS Prambanan,5,653,1,tidak,,
PKS,Ranting / Desa,3404090,Ranting PKS Prambanan,74,852,21,13,,
PKS,Anak Ranting / RT,3404090,Anak ranting PKS Prambanan,37,322,87,21,,
PKS,PAC / Kecamatan,3404100,PAC PKS Kalasan,15,512,1,ya,,
PKS,Ranting / Desa,3404100,Ranting PKS Kalasan,265,434,30,18,,
PKS,Anak Ranting / RT,3404100,Anak ranting PKS Kalasan,270,224,124,57,,
PKS,PAC / Kecamatan,3404110,PAC PKS Ngemplak,16,55,1,ya,,
PKS,Ranting / Desa,3404110,Ranting PKS Ngemplak,61,339,8,7,,
PKS,Anak Ranting / RT,3404110,Anak ranting PKS Ngemplak,58,66,31,8,,
PKS,PAC / Kecamatan,3404120,PAC PKS Ngaglik,18,1385,1,ya,,
PKS,Ranting / Desa,3404120,Ranting PKS Ngaglik,189,1966,34,29,,
PKS,Anak Ranting / RT,3404120,Anak ranting PKS Ngaglik,123,143,139,128,,
PKS,PAC / Kecamatan,3404130,PAC PKS Sleman,12,265,1,ya,,
PKS,Ranting / Desa,3404130,Ranting PKS Sleman,194,908,24,21,,
PKS,Anak Ranting / RT,3404130,Anak ranting PKS Sleman,176,325,99,36,,
PKS,PAC / Kecamatan,3404140,PAC PKS Tempel,8,1014,1,ya,,
PKS,Ranting / Desa,3404140,Ranting PKS Tempel,153,331,25,15,,
PKS,Anak Ranting / RT,3404140,Anak ranting PKS Tempel,139,342,102,65,,
PKS,PAC / Kecamatan,3404150,PAC PKS Turi,13,88,1,ya,,
PKS,Ranting / Desa,3404150,Ranting PKS Turi,69,93,8,3,,
PKS,Anak Ranting / RT,3404150,Anak ranting PKS Turi,29,95,31,15,,
PKS,PAC / Kecamatan,3404160,PAC PKS Pakem,14,576,1,ya,,
PKS,Ranting / Desa,3404160,Ranting PKS Pakem,255,1717,36,32,,
PKS,Anak Ranting / RT,3404160,Anak ranting PKS Pakem,206,678,147,39,,
PKS,PAC / Kecamatan,3404170,PAC PKS Cangkringan,20,334,1,ya,,
PKS,Ranting / Desa,3404170,Ranting PKS Cangkringan,64,1192,21,12,,
PKS,Anak Ranting / RT,3404170,Anak ranting PKS Cangkringan,53,348,87,59,,
NASDEM,DPD II / DPC,,DPC NASDEM Kabupaten,33,2125,1,ya,,
NASDEM,PAC / Kecamatan,3404010,PAC NASDEM Moyudan,13,475,1,ya,,
NASDEM,Ranting / Desa,3404010,Ranting NASDEM Moyudan,110,352,19,14,,
NASDEM,Anak Ranting / RT,3404010,Anak ranting NASDEM Moyudan,40,167,76,40,,
NASDEM,PAC / Kecamatan,3404020,PAC NASDEM Minggir,16,329,1,ya,,
NASDEM,Ranting / Desa,3404020,Ranting NASDEM Minggir,79,651,16,14,,
NASDEM,Anak Ranting / RT,3404020,Anak ranting NASDEM Minggir,85,200,64,27,,
NASDEM,PAC / Kecamatan,3404030,PAC NASDEM Seyegan,7,917,1,ya,,
NASDEM,Ranting / Desa,3404030,Ranting NASDEM Seyegan,173,321,32,21,,
NASDEM,Anak Ranting / RT,3404030,Anak ranting NASDEM Seyegan,172,159,132,90,,
NASDEM,PAC / Kecamatan,3404040,PAC NASDEM Godean,9,188,1,ya,,
NASDEM,Ranting / Desa,3404040,Ranting NASDEM Godean,165,133,20,17,,
NASDEM,Anak Ranting / RT,3404040,Anak ranting NASDEM Godean,158,54,82,24,,
NASDEM,PAC / Kecamatan,3404050,PAC NASDEM Gamping,5,242,1,ya,,
NASDEM,Ranting / Desa,3404050,Ranting NASDEM Gamping,67,145,15,13,,
NASDEM,Anak Ranting / RT,3404050,Anak ranting NASDEM Gamping,128,160,59,24,,
NASDEM,PAC / Kecamatan,3404060,PAC NASDEM Mlati,21,804,1,ya,,
NASDEM,Ranting / Desa,3404060,Ranting NASDEM Mlati,202,1933,37,36,,
NASDEM,Anak Ranting / RT,3404060,Anak ranting NASDEM Mlati,53,572,154,141,,
NASDEM,PAC / Kecamatan,3404070,PAC NASDEM Depok,14,452,1,ya,,
NASDEM,Ranting / Desa,3404070,Ranting NASDEM Depok,115,419,15,12,,
NASDEM,Anak Ranting / RT,3404070,Anak ranting NASDEM Depok,117,193,63,49,,
NASDEM,PAC / Kecamatan,3404080,PAC NASDEM Berbah,21,380,1,ya,,
NASDEM,Ranting / Desa,3404080,Ranting NASDEM Berbah,39,730,15,8,,
NASDEM,Anak Ranting / RT,3404080,Anak ranting NASDEM Berbah,52,157,59,29,,
NASDEM,PAC / Kecamatan,3404090,PAC NASDEM Prambanan,17,594,1,ya,,
NASDEM,Ranting / Desa,3404090,Ranting NASDEM Prambanan,166,345,21,12,,
NASDEM,Anak Ranting / RT,3404090,Anak ranting NASDEM Prambanan,47,393,87,48,,
NASDEM,PAC / Kecamatan,3404100,PAC NASDEM Kalasan,22,266,1,ya,,
NASDEM,Ranting / Desa,3404100,Ranting NASDEM Kalasan,119,1776,30,15,,
NASDEM,Anak Ranting / RT,3404100,Anak ranting NASDEM Kalasan,77,206,124,48,,
NASDEM,PAC / Kecamatan,3404110,PAC NASDEM Ngemplak,19,217,1,ya,,
NASDEM,Ranting / Desa,3404110,Ranting NASDEM Ngemplak,67,315,8,4,,
NASDEM,Anak Ranting / RT,3404110,Anak ranting NASDEM Ngemplak,57,56,31,17,,
NASDEM,PAC / Kecamatan,3404120,PAC NASDEM Ngaglik,12,1386,1,ya,,
NASDEM,Ranting / Desa,3404120,Ranting NASDEM Ngaglik,272,1497,34,32,,
NASDEM,Anak Ranting / RT,3404120,Anak ranting NASDEM Ngaglik,62,182,139,77,,
NASDEM,PAC / Kecamatan,3404130,PAC NASDEM Sleman,16,476,1,ya,,
NASDEM,Ranting / Desa,3404130,Ranting NASDEM Sleman,59,825,24,23,,
NASDEM,Anak Ranting / RT,3404130,Anak ranting NASDEM Sleman,53,473,99,40,,
NASDEM,PAC / Kecamatan,3404140,PAC NASDEM Tempel,7,169,1,ya,,
NASDEM,Ranting / Desa,3404140,Ranting NASDEM Tempel,186,774,25,23,,
NASDEM,Anak Ranting / RT,3404140,Anak ranting NASDEM Tempel,87,443,102,24,,
NASDEM,PAC / Kecamatan,3404150,PAC NASDEM Turi,13,64,1,ya,,
NASDEM,Ranting / Desa,3404150,Ranting NASDEM Turi,63,152,8,4,,
NASDEM,Anak Ranting / RT,3404150,Anak ranting NASDEM Turi,48,19,31,10,,
NASDEM,PAC / Kecamatan,3404160,PAC NASDEM Pakem,8,583,1,tidak,,
NASDEM,Ranting / Desa,3404160,Ranting NASDEM Pakem,249,850,36,29,,
NASDEM,Anak Ranting / RT,3404160,Anak ranting NASDEM Pakem,167,339,147,114,,
NASDEM,PAC / Kecamatan,3404170,PAC NASDEM Cangkringan,13,619,1,ya,,
NASDEM,Ranting / Desa,3404170,Ranting NASDEM Cangkringan,181,1288,21,13,,
NASDEM,Anak Ranting / RT,3404170,Anak ranting NASDEM Cangkringan,32,118,87,48,,
